City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Geraldton,AU,-28.7667,114.6,68.41,73,100,8.05,overcast clouds
172,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,6.91,scattered clouds
173,Waipawa,NZ,-41.4122,175.5153,50.72,88,100,15.52,overcast clouds
174,Borogontsy,RU,62.6683,131.1683,-28.01,97,100,4.29,overcast clouds
175,Uinskoye,RU,56.8817,56.5813,6.39,99,90,1.66,overcast clouds
176,Katubao,PH,5.8892,124.8294,79.21,80,85,2.82,overcast clouds
177,Aripuana,BR,-9.1667,-60.6333,96.66,36,44,4.72,scattered clouds
178,Hasaki,JP,35.7333,140.8333,55.8,75,100,29.12,overcast clouds
179,Imeni Poliny Osipenko,RU,52.4201,136.4853,-5.13,97,100,4.74,overcast clouds
180,Oktyabrskoye,RU,43.0645,44.7417,32.14,93,100,6.71,overcast clouds
181,Harper,LR,4.375,-7.7169,82.26,72,97,6.58,light rain
182,Praia,CV,14.9215,-23.5087,77.63,58,69,13.65,broken clouds
183,Neepawa,CA,50.2289,-99.4664,5.7,74,32,11.32,scattered clouds
184,Pavlodar,KZ,52.3,76.95,-7.8,64,0,15.66,clear sky
185,Norman Wells,CA,65.282,-126.8329,-3.5,81,100,6.8,overcast clouds
186,Waingapu,ID,-9.6567,120.2641,78.35,81,69,7.14,broken clouds
187,Zhuji,CN,29.7188,120.2423,33.17,98,100,2.37,light snow
188,Makokou,GA,0.5738,12.8642,76.78,87,97,2.39,light rain
189,Oropesa,PE,-13.5928,-71.7719,69.66,26,40,5.75,scattered clouds
190,Okhotsk,RU,59.3833,143.3,7.52,73,100,30.24,overcast clouds
191,Necochea,AR,-38.5473,-58.7368,65.98,61,100,16.6,overcast clouds
192,Kupang,ID,-10.1667,123.5833,79.61,83,93,4.56,overcast clouds
193,Homa Bay,KE,-0.5273,34.4571,72.21,69,91,6.22,overcast clouds
194,Ozernovskiy,RU,51.5,156.5167,32.31,87,100,15.75,light snow
195,Sibu,MY,2.3,111.8167,73.99,97,100,1.45,overcast clouds
196,Vila Velha,BR,-20.3297,-40.2925,80.55,78,75,12.66,broken clouds
197,Nantucket,US,41.2835,-70.0995,57.34,85,40,20.71,scattered clouds
198,Moree,AU,-29.4667,149.85,66.63,51,100,7.72,light rain
199,Wattegama,LK,6.7989,81.4808,73.6,94,82,3.29,broken clouds
200,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,16,0,11.5,clear sky
201,Tubmanburg,LR,6.8708,-10.8172,82.02,77,95,4.36,moderate rain
202,Riyadh,SA,24.6877,46.7219,73.54,26,54,8.52,broken clouds
203,Yar-Sale,RU,66.8333,70.8333,-8.3,100,35,3.53,scattered clouds
