City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Kloulklubed,PW,84.06,overcast clouds,7.0419,134.2556,The Adventures Inn
447,Itarema,BR,85.66,overcast clouds,-2.9248,-39.9167,Pousada Oásis
450,Pando,UY,84.6,broken clouds,-34.7167,-55.95,No hotel found
455,Katobu,ID,75.78,overcast clouds,-4.9408,122.5276,No hotel found
457,Oum Hadjer,TD,87.64,scattered clouds,13.2954,19.6966,No hotel found
458,Ayutla,MX,72.9,scattered clouds,20.1167,-104.3333,No hotel found
459,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Cape Garden
463,Chiapilla,MX,76.8,few clouds,16.5167,-92.7333,No hotel found
465,Satipo,PE,86.68,overcast clouds,-11.2522,-74.6386,Hospedaje Henrys
466,Richards Bay,ZA,73.94,clear sky,-28.783,32.0377,Protea Hotel
467,Rio Claro,BR,86.5,overcast clouds,-22.4114,-47.5614,Hotel Premier
468,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Paladino
470,Abu Dhabi,AE,78.96,broken clouds,24.4667,54.3667,Marriott Downtown Abu-Dhabi
475,Buraydah,SA,72.73,few clouds,26.326,43.975,دنا للوحدات السكنية
477,Namibe,AO,72.36,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
479,Kokopo,PG,78.51,overcast clouds,-4.352,152.2633,Hotel Kokopo
483,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,No hotel found
485,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,Iloha Seaview Hôtel
487,Lasalgaon,IN,70.7,broken clouds,20.15,74.2333,No hotel found
489,Touros,BR,84.38,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
491,Langsa,ID,75.9,overcast clouds,4.4683,97.9683,Harmoni Hotel
492,Coahuayana,MX,82.69,clear sky,18.7333,-103.6833,No hotel found
494,San Juan Bautista,PE,79.84,broken clouds,-14.0108,-75.7358,Hacienda San Juan Resort & Spa
